subject_id,beta2_rl,beta_equiv_ddm,a,vmod
sub1,6.510194,14.052282696599999,1.91671,3.66573
sub10,2.639415,4.867527112,2.4031,1.01276
sub100,1.460865,4.8452744370600005,5.39271,0.449243
sub101,1.592895,6.277320791999999,2.12172,1.4793
sub102,1.654701,5.18765689392,3.13042,0.828588
sub103,1.5292,1.3407578052000002,3.06172,0.218955
sub104,5.553682,9.287725227200001,1.99724,2.32514
sub105,4.372038,8.563029954600001,2.03159,2.10747
sub106,1.929489,16.921749368,4.44355,1.90408
sub107,2.898906,7.4484537606000005,2.34153,1.59051
sub108,3.446884,5.1372178176,1.94568,1.32016
sub109,4.972326,13.873389919200001,1.70778,4.06182
sub11,2.667292,2.62316226636,2.43869,0.537822
sub110,3.10686,4.64425389864,2.79918,0.829574
sub111,3.338224,7.5081663800000005,3.18175,1.17988
sub112,0.399904,1.8127359817,2.43317,0.372505
sub113,1.987853,2.98563455136,2.72876,0.547068
sub114,3.625912,7.6379027094000005,2.31453,1.64999
sub115,7.02986,11.613589945600001,2.49376,2.32853
sub116,4.575423,7.75652108,2.558,1.51613
sub117,4.531674,8.518936400000001,1.612,2.64235
sub118,4.408643,13.578135333,2.08345,3.25857
sub119,4.043401,9.25161223,3.48565,1.3271
sub12,3.721003,8.6621415552,2.20768,1.96182
sub120,1.15475,3.4979745346800004,2.14791,0.814274
sub121,2.010106,18.5927300372,5.14558,1.80667
sub122,4.78976,9.125532569999999,1.88661,2.4185
sub123,2.510678,7.56971587668,5.24281,0.721914
sub124,4.221238,8.9426407572,1.60803,2.78062
sub125,3.919809,10.280839432,2.34551,2.1916
sub126,2.848554,7.6855749616,2.02606,1.89668
sub127,3.802521,10.872988667999998,4.06908,1.33605
sub128,1.973044,7.6694918456,1.93913,1.97756
sub129,3.269409,8.92523817,2.1165,2.10849
sub13,2.847693,7.113879162,2.6013,1.36737
sub130,1.646356,9.231942064000002,2.5609,1.80248
sub131,3.0893,6.3735879323999995,1.43911,2.21442
sub132,1.628283,7.066438891200001,2.25576,1.56631
sub133,3.573389,7.730465859,2.27245,1.70091
sub134,3.720375,9.7090905548,3.16222,1.53517
sub135,2.504136,6.7092082204,1.91707,1.74986
sub136,4.260722,11.6409174336,1.74902,3.32784
sub137,1.888887,5.5274396241999995,2.70029,1.02349
sub138,3.347211,6.2716633452,3.8751,0.809226
sub139,3.967517,11.148047392,1.88576,2.95585
sub14,3.881853,8.3517524874,2.67381,1.56177
sub140,4.216595,14.529946912,3.62596,2.0036
sub141,2.753227,11.419954688999999,3.23895,1.76291
sub142,2.750058,4.8491697942,2.15421,1.12551
sub143,5.945704,15.217022865599997,2.09148,3.63786
sub144,6.126653,7.048434448799999,4.18995,0.841112
sub145,3.7364,8.944292025000001,1.93077,2.31625
sub146,1.600398,5.35630346416,2.99288,0.894841
sub147,1.66021,4.1369459405999995,1.52911,1.35273
sub148,5.469819,9.562484367800002,2.15761,2.21599
sub149,3.565634,6.360262313600001,1.60121,1.98608
sub15,0.648836,2.0204354641599997,2.26648,0.445721
sub150,6.482582,13.9313219022,2.50233,2.78367
sub151,2.466778,6.802106932000001,1.9529,1.74154
sub16,6.125921,11.6268581242,2.09539,2.77439
sub17,7.218132,4.06842173272,4.75334,0.427954
sub18,2.230216,7.0717646711999995,2.85161,1.23996
sub19,1.270417,5.814054625,1.88005,1.54625
sub2,2.568153,6.079673295,1.78065,1.70715
sub20,2.656612,19.359015603200003,4.98512,1.94168
sub21,4.379301,8.380417328,2.36842,1.7692
sub22,2.792342,6.6692794238,2.55389,1.30571
sub23,2.755826,6.5879557774,2.43751,1.35137
sub24,1.990388,4.502545665,1.78975,1.25787
sub25,1.210948,3.8697850303799997,2.70273,0.715903
sub26,1.159592,2.70640552644,2.54177,0.532386
sub27,6.051942,13.360471955200001,2.51824,2.65274
sub28,2.671664,6.8861755227999994,1.70498,2.01943
sub29,1.736895,5.643852528,2.47955,1.13808
sub3,3.195516,4.4302424536,2.4806,0.892978
sub30,2.780478,3.85633013168,2.33003,0.827528
sub31,1.577198,4.5974067084,2.22762,1.03191
sub32,2.611865,5.977047960400001,2.97407,1.00486
sub33,2.26913,6.164863067,1.83595,1.67893
sub34,4.107185,11.082931442400001,2.19444,2.52523
sub35,4.231011,11.387496972000001,2.7442,2.07483
sub36,3.283951,7.663261464,2.75004,1.3933
sub37,2.035983,4.9578760226,2.12167,1.16839
sub38,1.973909,1.5347030109600002,2.84532,0.269689
sub39,5.086443,13.13842616,2.49448,2.6335
sub4,1.704244,4.84091316748,2.55733,0.946478
sub40,2.322261,6.0438766808,2.09851,1.44004
sub41,2.331069,8.291952054,4.12215,1.00578
sub42,3.044314,6.597822508799999,2.76896,1.19139
sub43,4.256487,4.7542882638,1.80597,1.31627
sub44,2.650993,6.8581332192,2.36958,1.44712
sub45,2.066611,2.5907601984,3.2439,0.399328
sub46,1.234608,12.4603864826,3.89263,1.60051
sub47,3.355891,7.3979403084,2.39886,1.54197
sub48,1.231538,4.4929575347,4.75229,0.472715
sub49,3.694365,6.5108596072,2.17243,1.49852
sub5,2.49313,7.2652641760000005,2.69044,1.3502
sub50,3.383764,8.097746579999999,2.00475,2.01964
sub51,2.048941,8.90429969316,4.60918,0.965931
sub52,8.511859,14.9480156832,2.92368,2.55637
sub53,2.255311,5.3092275832,2.05867,1.28948
sub54,2.182125,5.663425913600001,2.08964,1.35512
sub55,1.78819,5.6189650704,2.39052,1.17526
sub56,4.348543,8.529707949,2.33265,1.82833
sub57,2.367818,6.6916512813999995,2.19101,1.52707
sub58,3.035344,7.8040838136,3.55209,1.09852
sub59,3.00585,8.093886934999999,1.77829,2.27575
sub6,2.999195,7.016626949000001,2.47771,1.41595
sub60,2.778125,7.518844201,3.21827,1.16815
sub61,2.986481,3.16694598174,2.77191,0.571257
sub62,4.755442,12.859967848399998,2.04262,3.14791
sub63,4.246548,10.905055039199999,1.96329,2.77724
sub64,1.439796,4.727340343679999,3.07176,0.769484
sub65,2.351321,8.2884944464,2.42399,1.70968
sub66,8.441813,19.175997169,2.29271,4.18195
sub67,4.079766,9.083876956000001,2.17844,2.08495
sub68,6.54825,8.8581076332,2.78034,1.59299
sub69,5.187973,11.71836279,2.17369,2.6955
sub7,3.741727,7.6202558426,1.87903,2.02771
sub70,2.201261,5.088244788,2.21826,1.1469
sub71,3.676321,7.022869952,1.81226,1.9376
sub72,5.420354,12.7310555176,2.13556,2.98073
sub73,10.33756,10.5656816136,2.28164,2.31537
sub74,3.9871,5.635161004,1.8866,1.49347
sub75,3.954698,9.514377639200001,2.81834,1.68794
sub76,1.41167,4.67052897968,2.59208,0.900923
sub77,2.216152,4.8593823908,1.77037,1.37242
sub78,2.15437,4.1171704920000005,1.8702,1.10073
sub79,1.392955,3.0718263803999997,2.1163,0.725754
sub8,1.949529,7.0212286072,2.26636,1.54901
sub80,4.98172,14.372113065599999,2.58521,2.77968
sub81,3.378945,8.2131043176,2.35404,1.74447
sub82,1.674215,5.0645395684,2.27399,1.11358
sub83,2.274061,4.6015827,2.035,1.13061
sub84,4.813252,6.513318118,3.71362,0.87695
sub85,1.747517,8.7035346664,4.06924,1.06943
sub86,1.191254,3.9601284659200005,4.85386,0.407936
sub87,1.903334,3.48524523776,2.74768,0.634216
sub88,3.711053,6.5780779350000005,1.95747,1.68025
sub89,4.267527,12.535077492,2.41668,2.59345
sub9,1.983063,5.851945197,2.78943,1.04895
sub90,2.225437,6.24328815504,3.89148,0.802174
sub91,5.838214,11.260546995599999,5.22934,1.07667
sub92,2.534194,6.518662210399999,2.38426,1.36702
sub93,2.129276,3.0866894233,2.62583,0.587755
sub94,3.299233,7.67435997,2.0105,1.90857
sub95,6.508638,8.615811632400002,4.19163,1.02774
sub96,1.492799,6.085300600400001,4.7446,0.641287
sub97,2.641339,4.99672919184,3.87624,0.644533
sub98,4.746856,11.083660486,2.37857,2.3299
sub99,2.563754,2.8470593990400004,1.76692,0.805656
