subject_id;trials_used;neg_logpost;alpha;beta_mb;beta_mf;beta2;lambda;stickiness;beta1_stage1;w_hybrid;error
sub1;191;158.320718;0.456130;4.105522;2.786215;6.510194;0.263273;-0.038218;6.891737;0.595717;
sub10;191;262.162804;0.321510;0.824971;0.970385;2.639415;0.010570;0.006883;1.795356;0.459503;
sub100;183;233.718717;0.233601;1.035265;2.022103;1.460865;0.016725;0.938882;3.057368;0.338613;
sub101;191;149.657479;0.631949;3.270093;4.588184;1.592895;0.145875;2.248007;7.858276;0.416134;
sub102;146;201.399687;0.058468;1.594677;4.164086;1.654701;0.058796;-0.578763;5.758763;0.276913;
sub103;177;195.499555;0.030841;1.641858;0.820668;1.529200;0.199734;2.059746;2.462526;0.666737;
sub104;191;114.597101;0.745142;6.194652;2.649024;5.553682;0.013941;1.766107;8.843676;0.700461;
sub105;191;102.520211;0.629154;2.693883;1.668616;4.372038;0.063042;2.658447;4.362499;0.617509;
sub106;183;236.613919;0.000927;2.003460;1.970095;1.929489;0.415882;1.120134;3.973556;0.504198;
sub107;190;229.928289;0.525722;1.189371;1.106323;2.898906;0.232908;0.667835;2.295694;0.518088;
sub108;191;257.868991;0.403738;0.261196;1.257328;3.446884;0.088663;0.568797;1.518525;0.172007;
sub109;190;206.124261;0.287869;1.921011;1.306587;4.972326;0.718269;0.940947;3.227598;0.595183;
sub11;180;249.700471;0.065031;1.120627;0.830890;2.667292;0.847370;-0.391323;1.951517;0.574234;
sub110;187;262.479454;0.013599;1.467741;3.910318;3.106860;0.141511;-0.313051;5.378059;0.272913;
sub111;189;184.296114;0.678585;21.012094;1.915700;3.338224;0.856120;1.333720;22.927795;0.916446;
sub112;191;277.672173;0.004099;7.284230;1.685676;0.399904;0.168769;0.362161;8.969907;0.812074;
sub113;188;265.566638;0.006988;2.033103;1.992423;1.987853;0.404321;0.289159;4.025526;0.505053;
sub114;191;86.247518;0.537349;1.988176;2.051511;3.625912;0.476414;7.062509;4.039687;0.492161;
sub115;189;116.744012;0.375680;4.345629;2.942588;7.029860;0.232566;0.837774;7.288217;0.596254;
sub116;188;129.618300;0.637569;7.014367;2.293696;4.575423;0.121379;1.362329;9.308064;0.753580;
sub117;189;180.035412;0.416465;15.271602;2.127641;4.531674;0.767268;1.577029;17.399244;0.877716;
sub118;191;146.772135;0.685796;4.764223;1.300260;4.408643;0.042007;1.474763;6.064483;0.785594;
sub119;190;195.934056;0.767558;3.804433;1.920633;4.043401;0.017321;1.235263;5.725066;0.664522;
sub12;191;152.820988;0.676771;3.960991;1.678659;3.721003;0.217815;1.296880;5.639651;0.702347;
sub120;189;241.695792;0.812396;1.518864;1.563318;1.154750;0.159448;0.045488;3.082182;0.492789;
sub121;184;260.977772;0.018935;1.888064;1.980300;2.010106;0.148885;0.029818;3.868364;0.488078;
sub122;190;124.394180;0.706763;2.336277;2.433247;4.789760;0.019415;1.709195;4.769523;0.489834;
sub123;191;165.459739;0.614362;1.636482;1.586179;2.510678;0.334513;1.841315;3.222661;0.507805;
sub124;191;153.645506;0.390571;1.737618;3.302023;4.221238;0.149728;1.479385;5.039641;0.344790;
sub125;187;118.849885;0.154608;1.998432;2.850434;3.919809;0.070043;3.092545;4.848867;0.412144;
sub126;190;135.413236;0.819287;1.867140;0.729218;2.848554;0.033767;2.890840;2.596358;0.719138;
sub127;191;174.034966;0.267432;3.412258;2.080987;3.802521;0.022648;1.814359;5.493245;0.621173;
sub128;188;266.716782;0.017592;1.726839;2.272222;1.973044;0.713040;-0.137567;3.999061;0.431811;
sub129;191;183.776445;0.372296;2.233529;2.826604;3.269409;0.389094;0.918879;5.060133;0.441397;
sub13;185;204.959979;0.081162;1.944286;5.814868;2.847693;0.045298;0.559355;7.759154;0.250580;
sub130;189;232.288417;0.161643;1.340542;1.998794;1.646356;0.000487;0.753633;3.339337;0.401440;
sub131;191;135.283784;0.720640;1.706620;1.631678;3.089300;0.365118;2.108682;3.338298;0.511225;
sub132;189;217.017647;0.629845;10.071034;1.048345;1.628283;0.065628;0.226412;11.119379;0.905719;
sub133;191;213.317437;0.621115;21.680630;5.946233;3.573389;0.496192;2.328728;27.626863;0.784766;
sub134;151;184.949530;0.093202;2.448097;5.794920;3.720375;0.032280;0.135190;8.243017;0.296990;
sub135;189;229.015953;0.608900;0.705374;0.562157;2.504136;0.000001;0.058455;1.267532;0.556494;
sub136;191;170.389866;0.393596;4.030425;1.203745;4.260722;0.317312;1.516334;5.234170;0.770022;
sub137;179;233.598162;0.053554;2.096211;2.603382;1.888887;0.866466;0.690700;4.699593;0.446041;
sub138;190;184.413611;0.220047;3.951664;3.746669;3.347211;0.970958;1.039037;7.698333;0.513314;
sub139;191;129.290518;0.581524;4.976514;3.224994;3.967517;0.043944;1.767141;8.201508;0.606780;
sub14;187;150.320824;0.638937;2.750180;2.930061;3.881853;0.319670;0.976256;5.680241;0.484166;
sub140;187;111.786043;0.261020;2.719205;2.201111;4.216595;0.352090;2.931718;4.920317;0.552648;
sub141;183;226.777838;0.164780;1.605978;2.035899;2.753227;0.786706;0.697240;3.641876;0.440975;
sub142;191;226.946545;0.054650;2.302526;2.212991;2.750058;0.156826;1.375713;4.515517;0.509914;
sub143;190;106.215841;0.379302;10.484802;2.496022;5.945704;0.460941;1.915658;12.980824;0.807715;
sub144;188;176.863763;0.197196;5.063424;6.473913;6.126653;0.159004;1.974521;11.537337;0.438873;
sub145;191;116.003284;0.567634;2.922064;2.933206;3.736400;0.264834;2.058309;5.855270;0.499049;
sub146;177;244.295577;0.087116;2.819854;2.392532;1.600398;0.044018;0.132422;5.212386;0.540991;
sub147;191;218.147166;0.539099;2.707491;2.168061;1.660210;0.175700;0.754503;4.875551;0.555320;
sub148;191;150.824194;0.218787;2.495114;2.953482;5.469819;0.619222;1.894481;5.448597;0.457937;
sub149;191;184.949110;0.414541;4.413010;2.386956;3.565634;0.414285;0.771496;6.799966;0.648975;
sub15;190;264.216793;0.584152;2.284959;0.541627;0.648836;0.030215;0.438742;2.826587;0.808381;
sub150;191;174.079853;0.273856;2.303796;1.822826;6.482582;0.867320;0.912726;4.126622;0.558276;
sub151;191;134.617542;0.432519;1.811639;1.366034;2.466778;0.174272;3.671184;3.177673;0.570115;
sub16;191;73.978089;0.515638;2.345700;1.149355;6.125921;0.043366;3.354460;3.495055;0.671148;
sub17;187;197.641515;0.014821;2.308331;2.079417;7.218132;0.597523;1.422579;4.387749;0.526086;
sub18;171;223.039348;0.537525;0.984598;0.590432;2.230216;0.105773;0.547197;1.575031;0.625130;
sub19;191;226.994744;0.304471;1.275037;1.614095;1.270417;0.309882;1.651581;2.889132;0.441322;
sub2;191;219.357794;0.629222;1.138484;1.983557;2.568153;0.232093;0.426809;3.122041;0.364660;
sub20;171;244.316112;0.000691;1.894181;2.003897;2.656612;0.395377;0.163140;3.898079;0.485927;
sub21;191;193.383175;0.402216;3.296083;2.886803;4.379301;0.193652;0.238307;6.182887;0.533098;
sub22;191;189.853293;0.625684;5.816064;0.732024;2.792342;0.740056;0.892926;6.548088;0.888208;
sub23;191;144.653260;0.499134;3.176777;2.074473;2.755826;0.015552;2.244587;5.251249;0.604956;
sub24;189;253.690726;0.172156;3.201750;0.776223;1.990388;0.831629;0.438370;3.977973;0.804870;
sub25;182;250.269019;0.266776;0.948530;2.045006;1.210948;0.090146;0.165423;2.993537;0.316859;
sub26;186;254.502268;0.376894;0.753468;2.935594;1.159592;0.014373;0.163753;3.689062;0.204244;
sub27;191;87.573442;0.528686;3.377992;3.507925;6.051942;0.235238;2.116008;6.885917;0.490565;
sub28;190;233.868172;0.188072;2.933068;2.832248;2.671664;0.773757;0.139473;5.765316;0.508744;
sub29;175;245.835073;0.074513;1.184894;1.331083;1.736895;0.114182;0.073853;2.515977;0.470948;
sub3;188;237.625148;0.028009;2.920617;6.899168;3.195516;0.008010;0.471541;9.819785;0.297422;
sub30;190;266.200508;0.166836;1.123183;0.683499;2.780478;0.102827;-0.321489;1.806682;0.621683;
sub31;188;261.815277;0.245974;2.165521;0.934658;1.577198;0.025515;-0.355875;3.100179;0.698515;
sub32;178;222.802535;0.092317;2.507882;2.150041;2.611865;0.722668;0.819430;4.657923;0.538412;
sub33;189;252.557092;0.075052;1.000378;4.197324;2.269130;0.508193;0.781215;5.197702;0.192465;
sub34;188;178.746685;0.410711;1.862010;1.127160;4.107185;0.237265;1.803556;2.989170;0.622919;
sub35;190;163.808427;0.539890;4.289460;2.025662;4.231011;0.029340;1.125322;6.315121;0.679236;
sub36;186;210.475691;0.611974;2.841957;1.514045;3.283951;0.031076;0.410438;4.356002;0.652423;
sub37;190;249.180679;0.506384;0.653663;1.106563;2.035983;0.043104;0.073302;1.760226;0.371352;
sub38;184;260.317970;0.000871;1.960710;1.965759;1.973909;0.398002;0.329303;3.926469;0.499357;
sub39;191;201.091630;0.313875;1.218608;2.999190;5.086443;0.547422;0.385149;4.217798;0.288920;
sub4;187;216.419969;0.550212;1.718547;1.955041;1.704244;0.142394;1.077516;3.673587;0.467812;
sub40;189;262.454482;0.139222;2.267720;0.668404;2.322261;0.374558;0.162816;2.936124;0.772352;
sub41;161;221.216834;0.094789;1.751084;1.657759;2.331069;0.282254;-0.124825;3.408844;0.513689;
sub42;186;193.022044;0.482950;2.378587;0.997775;3.044314;0.278433;1.530402;3.376362;0.704482;
sub43;191;241.763732;0.478392;0.757965;0.939636;4.256487;0.122951;1.003834;1.697601;0.446492;
sub44;185;246.620406;0.051899;1.435150;2.660929;2.650993;0.034526;-0.564972;4.096079;0.350372;
sub45;163;231.128986;0.010897;1.888097;1.877843;2.066611;0.456034;0.278971;3.765940;0.501361;
sub46;190;269.272329;0.009870;4.940136;3.743049;1.234608;0.780046;0.092109;8.683185;0.568931;
sub47;181;196.536146;0.487546;2.745969;1.582979;3.355891;0.022679;0.623285;4.328948;0.634327;
sub48;187;259.773148;0.020794;2.736568;2.229510;1.231538;0.036417;0.510627;4.966078;0.551052;
sub49;190;165.534033;0.543087;2.587211;1.407908;3.694365;0.097393;1.644512;3.995119;0.647593;
sub5;161;183.608474;0.382098;1.980373;3.546184;2.493130;0.016526;0.816619;5.526557;0.358338;
sub50;187;169.054924;0.670180;4.691438;1.655580;3.383764;0.092642;1.219337;6.347018;0.739156;
sub51;188;262.216653;0.054915;2.134000;2.738078;2.048941;0.865870;-0.049370;4.872079;0.438006;
sub52;181;119.003249;0.022733;2.517069;5.989110;8.511859;0.761980;1.056335;8.506179;0.295911;
sub53;190;193.139672;0.677272;3.935062;1.579335;2.255311;0.149852;1.195999;5.514397;0.713598;
sub54;185;210.362879;0.606749;2.886912;1.644387;2.182125;0.047396;0.889142;4.531299;0.637105;
sub55;187;223.239827;0.500609;8.590367;0.878859;1.788190;0.043361;0.524961;9.469226;0.907188;
sub56;191;175.642930;0.597370;3.440130;1.676627;4.348543;0.016176;0.970622;5.116756;0.672326;
sub57;191;233.450353;0.844646;2.255477;0.381565;2.367818;0.093721;-0.160520;2.637043;0.855306;
sub58;189;214.912002;0.554043;2.534468;1.030004;3.035344;0.388417;0.240765;3.564473;0.711036;
sub59;191;216.209709;0.573296;3.901769;1.035415;3.005850;0.140749;0.576198;4.937183;0.790282;
sub6;191;164.288327;0.666350;8.192765;0.813121;2.999195;0.260124;1.545089;9.005886;0.909712;
sub60;177;206.185389;0.264414;2.988672;2.158537;2.778125;0.011162;0.689120;5.147209;0.580639;
sub61;179;236.520959;0.056923;2.565051;0.992237;2.986481;0.854888;0.820282;3.557288;0.721069;
sub62;191;150.340071;0.171552;2.727318;2.202913;4.755442;0.951930;1.642045;4.930231;0.553183;
sub63;191;174.992155;0.569515;1.268782;1.618929;4.246548;0.664552;1.187743;2.887712;0.439373;
sub64;177;244.151049;0.079774;1.973524;1.892392;1.439796;0.695837;0.473286;3.865916;0.510493;
sub65;189;242.867728;0.001997;4.501138;1.429821;2.351321;0.152430;1.152720;5.930960;0.758922;
sub66;190;65.350433;0.105834;3.541651;2.979181;8.441813;0.750367;2.406604;6.520832;0.543129;
sub67;191;105.935613;0.636144;6.896008;1.310258;4.079766;0.059109;2.375419;8.206266;0.840334;
sub68;188;213.405623;0.379496;11.069996;3.530959;6.548250;0.976623;-0.168806;14.600956;0.758169;
sub69;191;124.145188;0.570405;4.564900;2.924892;5.187973;0.028989;1.349561;7.489792;0.609483;
sub7;191;168.585215;0.399313;2.301078;1.812721;3.741727;0.044776;1.582892;4.113799;0.559356;
sub70;191;258.077318;0.162084;0.465515;1.622217;2.201261;0.580865;-0.545834;2.087732;0.222976;
sub71;189;130.023472;0.536656;3.213268;3.749191;3.676321;0.073133;1.807912;6.962460;0.461513;
sub72;191;96.215366;0.509059;3.522727;2.116636;5.420354;0.272737;2.779598;5.639363;0.624668;
sub73;190;183.428211;0.751706;11.252819;4.802456;10.337560;0.002595;1.547553;16.055275;0.700880;
sub74;190;147.422665;0.288955;6.825780;2.695033;3.987100;0.750206;1.870546;9.520813;0.716932;
sub75;184;149.697175;0.418081;6.057732;2.405195;3.954698;0.017240;1.298049;8.462927;0.715796;
sub76;187;255.909128;0.023868;2.171368;1.834153;1.411670;0.584875;0.589595;4.005521;0.542094;
sub77;191;211.854722;0.828416;1.926998;0.990055;2.216152;0.015768;1.157714;2.917053;0.660598;
sub78;190;269.045294;0.030648;1.347942;1.445610;2.154370;0.958551;0.000821;2.793552;0.482519;
sub79;191;215.852441;0.532661;8.349259;0.710205;1.392955;0.948135;1.045679;9.059464;0.921606;
sub8;191;208.512732;0.545828;5.726845;0.831392;1.949529;0.293329;0.340420;6.558237;0.873229;
sub80;187;219.501172;0.041183;1.591837;1.997757;4.981720;0.900052;0.492364;3.589594;0.443459;
sub81;191;175.258638;0.562966;2.355556;1.303215;3.378945;0.184320;1.388961;3.658771;0.643811;
sub82;191;244.996898;0.493558;4.007268;0.722505;1.674215;0.330378;0.247611;4.729773;0.847243;
sub83;188;223.936291;0.213623;0.337096;1.490193;2.274061;0.353353;1.333871;1.827289;0.184479;
sub84;189;191.929028;0.016039;1.455570;2.483644;4.813252;0.180473;1.657122;3.939214;0.369508;
sub85;189;196.459229;0.855594;2.718916;1.877129;1.747517;0.071813;0.855550;4.596045;0.591577;
sub86;190;218.133736;0.150033;2.045743;3.900997;1.191254;0.514872;0.634153;5.946740;0.344011;
sub87;187;266.357663;0.010614;1.965928;1.968813;1.903334;0.150583;-0.078045;3.934742;0.499633;
sub88;191;153.538360;0.619377;6.246156;2.762691;3.711053;0.129753;1.443596;9.008847;0.693336;
sub89;183;194.825708;0.123276;2.582941;5.184847;4.267527;0.584431;0.872880;7.767788;0.332519;
sub9;156;185.282114;0.019575;1.807830;2.584759;1.983063;0.433885;1.572298;4.392589;0.411564;
sub90;188;225.436191;0.029295;1.895162;3.283682;2.225437;0.034528;1.322990;5.178845;0.365943;
sub91;189;125.581270;0.053262;2.622568;3.002897;5.838214;0.172560;1.929700;5.625466;0.466196;
sub92;185;220.150589;0.467778;1.398388;1.103762;2.534194;0.322044;0.992131;2.502150;0.558874;
sub93;180;252.994928;0.009476;2.611346;2.292571;2.129276;0.937516;-0.283948;4.903917;0.532502;
sub94;187;136.101117;0.811393;4.568639;1.919632;3.299233;0.244663;1.346019;6.488271;0.704138;
sub95;190;186.317827;0.192814;2.305380;2.359056;6.508638;0.870495;1.266905;4.664436;0.494246;
sub96;184;251.694916;0.154438;0.741328;2.164820;1.492799;0.030752;-0.779648;2.906147;0.255089;
sub97;186;234.658201;0.246087;2.173925;0.518215;2.641339;0.335586;1.365424;2.692140;0.807508;
sub98;191;161.347770;0.174882;2.076716;2.032657;4.746856;0.153639;1.300761;4.109373;0.505361;
sub99;189;243.679006;0.136175;1.965489;1.569547;2.563754;0.508575;0.824616;3.535035;0.556003;
